year,soc_occupation_code,soc_major,soc_minor,soc_unit,description,sex,emp_type,fp_time,value
2011,1,1,,,"MANAGERS, DIRECTORS AND SENIOR OFFICIALS",male,employees,full,1469653.0
2011,1,1,,,"MANAGERS, DIRECTORS AND SENIOR OFFICIALS",female,employees,part,608116.0
2011,1,1,,,"MANAGERS, DIRECTORS AND SENIOR OFFICIALS",male,employees,full,66058.0
2011,1,1,,,"MANAGERS, DIRECTORS AND SENIOR OFFICIALS",female,employees,part,135035.0
2011,1,1,,,"MANAGERS, DIRECTORS AND SENIOR OFFICIALS",male,self-employed,full,367651.0
2011,1,1,,,"MANAGERS, DIRECTORS AND SENIOR OFFICIALS",female,self-employed,part,115414.0
2011,1,1,,,"MANAGERS, DIRECTORS AND SENIOR OFFICIALS",male,self-employed,full,45328.0
2011,1,1,,,"MANAGERS, DIRECTORS AND SENIOR OFFICIALS",female,self-employed,part,55635.0
2011,111,1,11.0,,Chief Executives and Senior Officials,male,employees,full,39221.0
2011,111,1,11.0,,Chief Executives and Senior Officials,female,employees,part,14968.0
