Year,Month,YBZY,YBZR,YBZQ,YBZT,YBZS,YBZV,YBZU,YBZW,JPC3,JPC4,JPC2,JPC5,AGNZ,AGNX,AGNY,AGNV,AGNW,AGNT,AGNU,AGNR,AGNS,BLUU,AGNP,BLUT,AGNN,AGNO,AGNL,AGNM,AGNJ,AGNK,AGNH,AGNI,YCAE,AGPA,AGOY,AGOZ,A2FC,AGOW,YCAP,AGOX,YCAO,A2FA,AGOU,YCAR,AGOV,YCAQ,AGOS,YCAT,AGOT,YCAS,AGOQ,YCAV,AGOR,YCAU,AGOO,YCAH,AGOP,YCAG,A2F9,AGOM,YCAJ,AGON,YCAI,AGOK,YCAL,AGOL,YCAK,YCAN,AGOJ,YCAM,AGPX,AGPY,AGPV,AGPW,AGPT,AGPU,AGPR,AGPS,AGPP,AGPQ,AGPN,AGPO,AGPL,AGPM,AGPK,YCCB,YCCA,YCCD,YCCC,YCCF,YCCE,YCCH,YCCG,YCBY,YCBX,YCBZ,YCCR,YCCQ,YCCT,YCCS,YCCV,YCCU,YCCX,YCCW,YCCJ,YCCI,YCCL,YCCK,YCCN,YCCM,YCCP,YCCO,AIWM,YCBA,AIWN,AIWK,YCBC,AIWL,YCBB,AIWI,YCBE,AIWJ,YCBD,AIWG,YCBG,AIWH,YCBF,YCAX,AIWF,YCAW,AIWC,YCAZ,YCAY,YCBQ,YCBP,AIVZ,YCBS,YCBR,YCBU,YCBT,YCBW,YCBV,YCBI,YCBH,YCBK,YCBJ,YCBM,YCBL,YCBO,YCBN,AGTF,AIXH,AGTD,AIXF,AIXG,AIXD,AIXE,AIXB,AIXC,BBFW,AIXA,AIWY,AIWX,LF23,LF22,LF27,LF26,LF25,LF24,AIYO,YCDC,YCDB,YCDE,YCDD,YCDG,AIYL,YCDF,AIYI,YCDI,YCDH,AIYG,YCCZ,AIYH,YCCY,AIYE,AIYF,AIYC,JF6H,AIYD,JF6I,AIYA,JF6F,YCDA,AIYB,JF6G,AIXZ,AIXX,AIXY,AIXV,YCDK,AIXW,YCDJ,AIXT,AIXU,YCDL,AIXR,AIXS,AGTO,LF2Z,LF2Y,LF2X,LF39,AIZJ,AIZH,LF3D,AIZI,LF3C,AIZF,LF3B,AIZG,LF3A,AIZD,LF3H,AIZE,LF3G,AIZB,LF3F,AIZC,LF3E,LF3L,YCGV,AIZA,LF3K,YCGU,LF3J,YCGX,LF3I,YCGW,LF3P,LF3O,AIYY,LF3N,AIYZ,LF3M,AIYW,LF3T,LF45,YCGN,AIYX,DZ36,LF3S,LF44,YCGM
1992,YEAR,38376.0,88044.0,24636.0,37656.0,50388.0,64752.0,118176.0,53424.0,,,,,3816.0,2148.0,1668.0,1476.0,3312.0,7116.0,1836.0,3972.0,3144.0,,21816.0,,1764.0,20040.0,22068.0,24312.0,46116.0,2244.0,3996.0,42120.0,3792.0,468.0,300.0,168.0,,204.0,1028.4,456.0,838.8,,924.0,925.2,240.0,1132.8,540.0,3300.0,384.0,6648.0,2748.0,15456.0,3264.0,3348.0,6144.0,728.4,528.0,715.2,,792.0,932.4,5352.0,703.2,8100.0,859.2,9408.0,1004.4,1138.8,1308.0,987.6,3924.0,6852.0,13020.0,2916.0,5796.0,7224.0,6492.0,6948.0,2136.0,456.0,384.0,1752.0,8232.0,9084.0,852.0,8832.0,6516.0,57.6,70.8,5616.0,85.2,2784.0,2832.0,6204.0,5220.0,15336.0,4548.0,432.0,2568.0,1980.0,9972.0,68400.0,7908.0,58428.0,520.8,439.2,4308.0,378.0,3048.0,1260.0,432.0,864.0,769.2,16224.0,822.0,907.2,3852.0,895.2,19680.0,856.8,234972.0,787.2,15828.0,778.8,77448.0,864.0,157524.0,9780.0,723.6,5676.0,766.8,2712.0,18936.0,34356.0,53484.0,746.4,5916.0,28440.0,2316.0,7272.0,11424.0,4956.0,11796.0,72156.0,197820.0,60360.0,70428.0,127404.0,7668.0,61152.0,3288.0,438.0,2880.0,482.4,390.0,314.4,374.4,405.6,440.4,6336.0,350.4,463.2,817.2,804.0,920.4,25284.0,59652.0,741.6,828.0,249.6,114.0,285.6,4116.0,52020.0,1056.0,309.6,47892.0,130.8,768.0,288.0,146.4,5532.0,110.4,2376.0,151.2,144.0,136.8,,139.2,,142.8,,139.2,129.6,,157.2,276.0,145.2,234.0,3132.0,242.4,7344.0,202.8,312.0,4212.0,296.4,193.2,6180.0,5892.0,14352.0,608.4,1296.0,709.2,650.4,900.0,770.4,872.4,840.0,26472.0,774.0,64848.0,741.6,961.2,700.8,914.4,674.4,936.0,806.4,916.8,927.6,85.2,260.4,943.2,3120.0,964.8,69.6,908.4,98.4,763.2,922.8,201.6,913.2,265.2,858.0,72.0,812.4,729.6,6072.0,79.2,,855.6,694.8,9264.0
1993,YEAR,38184.0,89076.0,23628.0,38556.0,50520.0,64968.0,119064.0,54096.0,,,,,4440.0,2268.0,2184.0,2040.0,3576.0,8016.0,1536.0,3792.0,4224.0,,19452.0,,1152.0,18300.0,19896.0,21876.0,41328.0,1992.0,3132.0,38196.0,3216.0,600.0,336.0,264.0,,360.0,1024.8,696.0,850.8,,1296.0,926.4,336.0,1125.6,672.0,3600.0,624.0,7152.0,2880.0,15084.0,3312.0,3552.0,6120.0,663.6,432.0,656.4,,612.0,927.6,5520.0,649.2,8400.0,855.6,9444.0,999.6,1132.8,1044.0,991.2,4176.0,7344.0,13992.0,3168.0,6240.0,7752.0,5928.0,6408.0,1824.0,480.0,432.0,1392.0,7332.0,8232.0,912.0,9288.0,7248.0,64.8,76.8,6852.0,90.0,3360.0,3480.0,7128.0,5640.0,16524.0,4128.0,492.0,2256.0,1872.0,10548.0,69708.0,9708.0,59160.0,577.2,496.8,4548.0,434.4,3180.0,1368.0,504.0,996.0,669.6,15792.0,810.0,890.4,4284.0,879.6,20316.0,841.2,230424.0,786.0,16032.0,739.2,76776.0,849.6,153636.0,9504.0,702.0,5580.0,736.8,2964.0,18756.0,33192.0,54084.0,720.0,5640.0,27552.0,2592.0,7668.0,12768.0,5076.0,12252.0,73212.0,194784.0,60960.0,70248.0,124548.0,7956.0,62040.0,3576.0,456.0,3072.0,478.8,434.4,372.0,369.6,412.8,364.8,7788.0,402.0,424.8,800.4,806.4,916.8,25620.0,59400.0,741.6,820.8,265.2,133.2,354.0,4032.0,51624.0,1020.0,324.0,47592.0,144.0,684.0,336.0,157.2,6600.0,129.6,3108.0,180.0,195.6,166.8,,214.8,,181.2,,166.8,154.8,,175.2,328.8,163.2,260.4,3036.0,262.8,7272.0,223.2,282.0,4236.0,298.8,216.0,6648.0,5724.0,13572.0,601.2,1824.0,681.6,649.2,897.6,712.8,865.2,762.0,27060.0,759.6,65256.0,720.0,958.8,754.8,919.2,699.6,938.4,738.0,919.2,926.4,91.2,264.0,944.4,3192.0,958.8,70.8,910.8,106.8,753.6,920.4,277.2,896.4,262.8,849.6,62.4,810.0,729.6,6132.0,74.4,,855.6,700.8,9360.0
1994,YEAR,38400.0,89784.0,22248.0,39024.0,50772.0,65016.0,119376.0,54360.0,,,,,4680.0,2328.0,2352.0,2184.0,3912.0,8580.0,1716.0,4044.0,4536.0,,18228.0,,1116.0,17112.0,19080.0,20892.0,39120.0,1812.0,2928.0,36192.0,3360.0,660.0,408.0,264.0,,432.0,1018.8,804.0,855.6,,1464.0,920.4,360.0,1117.2,768.0,3564.0,696.0,7032.0,2532.0,15372.0,2904.0,3480.0,5232.0,664.8,360.0,661.2,,528.0,912.0,4704.0,657.6,7236.0,836.4,8136.0,987.6,1134.0,888.0,993.6,4380.0,7548.0,14412.0,3168.0,6144.0,8268.0,5808.0,6300.0,1692.0,492.0,396.0,1296.0,7104.0,7992.0,888.0,10104.0,8112.0,73.2,85.2,7800.0,97.2,3792.0,4008.0,7968.0,6192.0,18216.0,4452.0,552.0,2472.0,1992.0,11328.0,71472.0,10008.0,60156.0,591.6,513.6,4860.0,450.0,3288.0,1572.0,552.0,1116.0,678.0,15696.0,806.4,913.2,4800.0,901.2,21276.0,849.6,231180.0,795.6,16488.0,746.4,76896.0,859.2,154296.0,9696.0,693.6,5676.0,742.8,2940.0,18624.0,34080.0,54792.0,717.6,5676.0,28404.0,2760.0,8112.0,14160.0,5352.0,13044.0,74868.0,194940.0,61824.0,70392.0,124560.0,8568.0,63360.0,3888.0,459.6,2976.0,489.6,434.4,375.6,382.8,421.2,392.4,3336.0,403.2,442.8,796.8,806.4,914.4,26520.0,60864.0,746.4,826.8,276.0,136.8,333.6,4248.0,52128.0,1020.0,337.2,47880.0,148.8,648.0,372.0,175.2,6864.0,121.2,3144.0,198.0,204.0,174.0,,210.0,,190.8,,168.0,159.6,,164.4,294.0,154.8,237.6,3528.0,240.0,8064.0,206.4,270.0,4536.0,279.6,199.2,6876.0,5424.0,12492.0,586.8,1920.0,675.6,626.4,891.6,717.6,855.6,750.0,27972.0,739.2,66372.0,708.0,960.0,724.8,922.8,673.2,922.8,734.4,908.4,922.8,82.8,276.0,950.4,2964.0,956.4,66.0,902.4,97.2,747.6,916.8,300.0,904.8,273.6,858.0,62.4,831.6,734.4,5568.0,73.2,,846.0,684.0,8592.0
1995,YEAR,38436.0,90072.0,21516.0,39492.0,50568.0,65604.0,120468.0,54864.0,,,,,5160.0,2652.0,2508.0,2448.0,4260.0,9420.0,1812.0,4464.0,4956.0,,17472.0,,1080.0,16392.0,18444.0,20388.0,37860.0,1944.0,3024.0,34836.0,3504.0,708.0,420.0,288.0,,432.0,1017.6,876.0,865.2,,1584.0,919.2,444.0,1116.0,864.0,3576.0,720.0,7116.0,2328.0,14808.0,2676.0,3540.0,4524.0,684.0,348.0,678.0,,540.0,912.0,3984.0,672.0,6312.0,838.8,7200.0,985.2,1128.0,888.0,994.8,4296.0,7488.0,14292.0,3192.0,6216.0,8088.0,5484.0,6012.0,1620.0,528.0,384.0,1236.0,6720.0,7632.0,912.0,10572.0,8688.0,76.8,87.6,8208.0,99.6,3876.0,4320.0,8964.0,6408.0,19248.0,4476.0,444.0,2520.0,1944.0,12408.0,73452.0,9888.0,61032.0,597.6,511.2,5496.0,440.4,3720.0,1776.0,636.0,1080.0,663.6,15312.0,812.4,934.8,4920.0,922.8,21636.0,862.8,233520.0,814.8,16728.0,753.6,78036.0,873.6,155484.0,9264.0,699.6,5532.0,756.0,3228.0,18540.0,34236.0,55632.0,727.2,5628.0,28620.0,2940.0,8352.0,15384.0,5412.0,13824.0,76308.0,197256.0,62472.0,71568.0,125688.0,9480.0,65100.0,3792.0,489.6,3012.0,523.2,457.2,410.4,405.6,446.4,398.4,4980.0,432.0,464.4,801.6,810.0,914.4,27312.0,62316.0,753.6,834.0,278.4,128.4,324.0,4620.0,53040.0,1128.0,337.2,48408.0,145.2,720.0,396.0,163.2,6528.0,123.6,3348.0,178.8,205.2,172.8,,237.6,,195.6,,160.8,152.4,,159.6,294.0,148.8,213.6,4008.0,218.4,9144.0,192.0,259.2,5136.0,272.4,184.8,6804.0,5436.0,12180.0,582.0,1692.0,644.4,594.0,876.0,690.0,858.0,717.6,28512.0,711.6,66936.0,678.0,957.6,702.0,916.8,645.6,934.8,705.6,910.8,921.6,76.8,276.0,946.8,2844.0,961.2,62.4,907.2,90.0,759.6,916.8,322.8,902.4,272.4,856.8,62.4,837.6,723.6,5016.0,73.2,,866.4,700.8,7908.0
1996,YEAR,39192.0,89976.0,20952.0,39780.0,50184.0,65772.0,121524.0,55752.0,,,,,5652.0,2844.0,2820.0,2568.0,4584.0,10248.0,2016.0,4848.0,5400.0,,17004.0,,1224.0,15792.0,17736.0,19680.0,36672.0,1932.0,3144.0,33528.0,3336.0,756.0,480.0,276.0,,432.0,1016.4,960.0,872.4,,1704.0,925.2,528.0,1108.8,996.0,3648.0,720.0,7236.0,2064.0,13944.0,2424.0,3588.0,4392.0,699.6,360.0,696.0,,648.0,918.0,3744.0,691.2,5808.0,846.0,6816.0,990.0,1120.8,996.0,994.8,3888.0,7068.0,13692.0,3180.0,6180.0,7512.0,5136.0,5724.0,1764.0,600.0,480.0,1296.0,6420.0,7488.0,1056.0,10992.0,8892.0,78.0,90.0,8040.0,102.0,3888.0,4152.0,8640.0,6576.0,19872.0,5064.0,456.0,2904.0,2172.0,13728.0,76320.0,9876.0,62592.0,560.4,486.0,5712.0,424.8,3744.0,1968.0,600.0,1056.0,674.4,14964.0,824.4,933.6,5400.0,914.4,21960.0,862.8,234012.0,760.8,16560.0,724.8,78600.0,879.6,155412.0,8748.0,712.8,5184.0,757.2,3516.0,18480.0,33528.0,57096.0,734.4,5436.0,28080.0,3060.0,8556.0,15216.0,5496.0,14880.0,78708.0,198600.0,63816.0,72324.0,126264.0,10668.0,67764.0,3624.0,520.8,3000.0,540.0,502.8,447.6,436.8,480.0,422.4,15636.0,475.2,483.6,811.2,814.8,915.6,27720.0,63768.0,762.0,840.0,276.0,121.2,308.4,5232.0,54852.0,996.0,331.2,49632.0,140.4,648.0,348.0,170.4,6348.0,108.0,3528.0,172.8,206.4,170.4,,247.2,,204.0,,154.8,140.4,,150.0,272.4,139.2,208.8,4572.0,219.6,10368.0,188.4,300.0,5784.0,290.4,177.6,6624.0,5448.0,12288.0,580.8,1368.0,609.6,570.0,883.2,646.8,864.0,676.8,28920.0,673.2,68112.0,640.8,952.8,668.4,918.0,616.8,940.8,662.4,904.8,922.8,69.6,273.6,945.6,2592.0,967.2,55.2,903.6,82.8,772.8,918.0,328.8,892.8,267.6,865.2,68.4,840.0,739.2,4656.0,81.6,,874.8,702.0,7392.0
1997,YEAR,40596.0,89952.0,20568.0,40044.0,49908.0,65352.0,121200.0,55848.0,,,,,5928.0,2964.0,2964.0,2508.0,4680.0,10608.0,2184.0,5136.0,5472.0,,16776.0,,1368.0,15408.0,17688.0,19692.0,36468.0,2004.0,3372.0,33096.0,3420.0,924.0,540.0,384.0,,432.0,1012.8,948.0,883.2,,1860.0,925.2,504.0,1102.8,1044.0,3624.0,816.0,7008.0,1812.0,13788.0,2184.0,3384.0,3672.0,711.6,384.0,720.0,,588.0,915.6,3084.0,729.6,4896.0,848.4,5856.0,981.6,1124.4,960.0,1002.0,4032.0,7248.0,13944.0,3216.0,6120.0,7824.0,4704.0,5184.0,1644.0,480.0,396.0,1248.0,5952.0,6828.0,876.0,11652.0,9612.0,81.6,93.6,8052.0,105.6,3864.0,4188.0,8484.0,6408.0,21264.0,5616.0,588.0,3156.0,2460.0,14448.0,77892.0,9504.0,63444.0,522.0,453.6,6360.0,398.4,4032.0,2328.0,636.0,1236.0,738.0,14352.0,843.6,963.6,5784.0,944.4,22356.0,890.4,238272.0,802.8,16572.0,776.4,80136.0,903.6,158148.0,8508.0,722.4,5280.0,771.6,3384.0,17736.0,32640.0,57792.0,747.6,5520.0,27120.0,3120.0,8784.0,14892.0,5652.0,15408.0,80028.0,203808.0,64620.0,73848.0,129948.0,11328.0,69108.0,3804.0,525.6,2904.0,555.6,498.0,432.0,436.8,482.4,441.6,2820.0,465.6,501.6,834.0,819.6,916.8,29088.0,67008.0,770.4,852.0,282.0,112.8,291.6,5544.0,55644.0,1128.0,330.0,50100.0,160.8,648.0,480.0,183.6,5988.0,136.8,3504.0,177.6,201.6,178.8,306612.0,228.0,11652.0,202.8,294564.0,146.4,156.0,23700.0,138.0,259.2,126.0,178.8,4824.0,189.6,11328.0,166.8,273.6,6504.0,267.6,154.8,6696.0,5364.0,11688.0,572.4,1188.0,594.0,543.6,883.2,638.4,861.6,692.4,30180.0,675.6,70776.0,633.6,952.8,655.2,920.4,597.6,934.8,664.8,900.0,924.0,60.0,258.0,955.2,2424.0,967.2,51.6,908.4,67.2,782.4,919.2,258.0,897.6,258.0,861.6,68.4,856.8,744.0,3660.0,79.2,,883.2,710.4,6096.0
1998,YEAR,41616.0,88776.0,20448.0,39648.0,49128.0,65568.0,121860.0,56292.0,,,,,6060.0,2928.0,3120.0,2748.0,4932.0,10992.0,2184.0,5112.0,5868.0,,16536.0,,1284.0,15240.0,17328.0,19308.0,35844.0,1980.0,3276.0,32568.0,3336.0,912.0,552.0,360.0,,420.0,1012.8,948.0,885.6,,1860.0,926.4,528.0,1100.4,1080.0,3480.0,792.0,6912.0,1716.0,13956.0,2052.0,3432.0,3396.0,726.0,336.0,722.4,,660.0,909.6,2736.0,718.8,4452.0,849.6,5448.0,969.6,1122.0,996.0,1003.2,4320.0,7524.0,14472.0,3204.0,6240.0,8232.0,4536.0,4932.0,1464.0,396.0,288.0,1188.0,5712.0,6396.0,672.0,11364.0,9432.0,78.0,90.0,7296.0,102.0,3408.0,3888.0,8400.0,6144.0,20808.0,5652.0,504.0,3216.0,2424.0,14808.0,78948.0,8928.0,64140.0,494.4,421.2,6672.0,360.0,4236.0,2448.0,672.0,1176.0,764.4,14064.0,850.8,978.0,5904.0,958.8,22476.0,902.4,240888.0,816.0,16572.0,794.4,81264.0,914.4,159624.0,8448.0,724.8,5508.0,774.0,3408.0,17460.0,31332.0,58536.0,748.8,5292.0,26040.0,3192.0,8808.0,14544.0,5616.0,15528.0,80640.0,208056.0,65124.0,75408.0,132648.0,11604.0,70128.0,3912.0,522.0,3024.0,540.0,506.4,440.4,441.6,482.4,442.8,3384.0,472.8,494.4,843.6,820.8,915.6,30312.0,69612.0,776.4,858.0,288.0,103.2,276.0,5844.0,56880.0,1332.0,333.6,51048.0,157.2,804.0,528.0,190.8,5520.0,124.8,3408.0,159.6,193.2,174.0,308904.0,231.6,12612.0,208.8,296556.0,135.6,141.6,24960.0,133.2,250.8,121.2,163.2,4980.0,178.8,11580.0,158.4,297.6,6600.0,280.8,144.0,6948.0,5388.0,11760.0,567.6,936.0,598.8,558.0,878.4,634.8,844.8,692.4,31248.0,674.4,72864.0,636.0,955.2,650.4,924.0,602.4,938.4,663.6,904.8,922.8,51.6,252.0,955.2,2160.0,972.0,45.6,901.2,56.4,771.6,916.8,234.0,897.6,253.2,852.0,67.2,866.4,745.2,3180.0,73.2,,890.4,698.4,5460.0
1999,YEAR,42636.0,88152.0,20472.0,39768.0,48384.0,66624.0,123972.0,57348.0,,,,,5988.0,2808.0,3180.0,2904.0,5040.0,11028.0,2136.0,4944.0,6096.0,,16608.0,,1284.0,15312.0,17520.0,19344.0,35952.0,1824.0,3108.0,32844.0,3552.0,900.0,492.0,408.0,,432.0,1018.8,984.0,903.6,,1884.0,932.4,552.0,1106.4,1044.0,3624.0,840.0,7128.0,1560.0,13944.0,1932.0,3504.0,3144.0,704.4,372.0,703.2,,636.0,910.8,2508.0,703.2,4068.0,847.2,5088.0,974.4,1124.4,1008.0,1012.8,4116.0,7428.0,14568.0,3312.0,6432.0,8124.0,4512.0,4896.0,1608.0,372.0,312.0,1296.0,5820.0,6504.0,684.0,10776.0,9444.0,76.8,85.2,7056.0,94.8,3252.0,3804.0,8640.0,6264.0,20232.0,5448.0,540.0,3072.0,2388.0,15468.0,80076.0,8364.0,64608.0,483.6,418.8,6480.0,362.4,3912.0,2556.0,708.0,1248.0,758.4,13056.0,859.2,985.2,5640.0,962.4,22080.0,907.2,244116.0,788.4,16440.0,776.4,83220.0,921.6,160896.0,8520.0,723.6,5424.0,778.8,3252.0,16320.0,30780.0,59076.0,751.2,5160.0,25620.0,3348.0,8880.0,14892.0,5532.0,16308.0,81900.0,212052.0,65592.0,77580.0,134472.0,12120.0,71196.0,4008.0,512.4,3132.0,524.4,502.8,468.0,450.0,482.4,427.2,2904.0,484.8,477.6,850.8,828.0,920.4,31416.0,71844.0,783.6,865.2,288.0,94.8,250.8,6528.0,58296.0,1392.0,337.2,51768.0,157.2,876.0,528.0,178.8,5124.0,136.8,3240.0,156.0,196.8,175.2,313488.0,246.0,12504.0,210.0,300600.0,124.8,146.4,25392.0,124.8,270.0,110.4,151.2,5112.0,168.0,11796.0,148.8,310.8,6684.0,294.0,132.0,7128.0,5316.0,11616.0,556.8,828.0,609.6,584.4,889.2,633.6,853.2,662.4,32424.0,662.4,75048.0,636.0,952.8,662.4,924.0,621.6,943.2,648.0,907.2,927.6,51.6,250.8,957.6,2196.0,974.4,45.6,913.2,57.6,772.8,921.6,220.8,897.6,253.2,862.8,73.2,861.6,756.0,2880.0,80.4,,891.6,710.4,5028.0
2000,YEAR,43392.0,86460.0,20532.0,39024.0,47436.0,67620.0,126096.0,58476.0,,,,,6264.0,2868.0,3408.0,2820.0,5016.0,11292.0,2208.0,5064.0,6216.0,,16308.0,,1140.0,15168.0,17760.0,19500.0,35808.0,1740.0,2880.0,32928.0,3444.0,900.0,504.0,384.0,4860.0,384.0,1021.2,936.0,902.4,,1848.0,936.0,564.0,1107.6,1080.0,3768.0,768.0,7332.0,1572.0,14256.0,1968.0,3552.0,2868.0,686.4,408.0,691.2,,552.0,904.8,2316.0,696.0,3900.0,846.0,4848.0,964.8,1122.0,948.0,1010.4,4176.0,7572.0,14784.0,3396.0,6600.0,8184.0,4596.0,4944.0,1860.0,348.0,384.0,1476.0,6084.0,6816.0,732.0,11052.0,9228.0,74.4,85.2,6048.0,96.0,2760.0,3288.0,8268.0,5856.0,20280.0,6552.0,528.0,3744.0,2820.0,15720.0,81816.0,7896.0,66096.0,426.0,357.6,6528.0,298.8,4032.0,2496.0,624.0,1152.0,724.8,12876.0,853.2,988.8,5664.0,966.0,22128.0,904.8,246204.0,781.2,16464.0,757.2,83736.0,921.6,162468.0,8604.0,720.0,5664.0,778.8,3300.0,16176.0,30372.0,60696.0,750.0,5376.0,24984.0,3288.0,8688.0,14124.0,5388.0,16440.0,83604.0,214596.0,67164.0,77868.0,136716.0,12432.0,73128.0,4008.0,523.2,3204.0,522.0,524.4,458.4,445.2,484.8,429.6,5988.0,492.0,477.6,842.4,830.4,920.4,32664.0,73908.0,790.8,870.0,300.0,86.4,236.4,6708.0,59688.0,1548.0,343.2,52980.0,151.2,984.0,564.0,181.2,4812.0,123.6,3096.0,142.8,189.6,168.0,315888.0,244.8,13896.0,210.0,303264.0,116.4,132.0,26520.0,129.6,309.6,112.8,139.2,5256.0,153.6,12408.0,142.8,289.2,7152.0,297.6,127.2,7212.0,5148.0,11064.0,544.8,672.0,602.4,584.4,892.8,615.6,866.4,680.4,33600.0,670.8,76992.0,636.0,957.6,661.2,913.2,621.6,937.2,646.8,915.6,927.6,45.6,255.6,961.2,2088.0,974.4,43.2,901.2,49.2,790.8,922.8,223.2,910.8,258.0,862.8,82.8,858.0,764.4,2544.0,92.4,,891.6,724.8,4344.0
2001,JAN,3661.0,7117.0,1710.0,3209.0,3908.0,5680.0,10605.0,4925.0,,,,,530.0,233.0,297.0,237.0,422.0,952.0,185.0,418.0,534.0,23.0,1354.0,23.0,99.0,1255.0,1480.0,1622.0,2976.0,142.0,241.0,2735.0,276.0,67.0,33.0,33.0,412.0,32.0,85.2,77.0,75.0,,144.0,78.2,45.0,92.3,78.0,324.0,66.0,643.0,124.0,1213.0,155.0,318.0,251.0,56.6,31.0,56.1,2.4,51.0,75.1,200.0,55.5,324.0,70.0,406.0,80.3,93.3,82.0,84.1,352.0,647.0,1280.0,295.0,584.0,697.0,390.0,419.0,157.0,29.0,30.0,127.0,517.0,576.0,59.0,912.0,776.0,6.2,7.0,458.0,7.8,216.0,242.0,683.0,468.0,1688.0,580.0,41.0,327.0,253.0,1340.0,6871.0,625.0,5531.0,31.2,27.1,549.0,23.7,328.0,220.0,60.0,101.0,62.2,1068.0,71.0,81.9,476.0,79.9,1848.0,75.2,20611.0,63.8,1372.0,63.1,7036.0,76.5,13576.0,734.0,59.7,479.0,64.4,279.0,1346.0,2565.0,5085.0,62.0,423.0,2142.0,265.0,710.0,1151.0,446.0,1399.0,7006.0,17950.0,5607.0,6581.0,11369.0,1075.0,6160.0,344.0,43.1,289.0,42.0,44.0,38.1,36.8,40.1,35.3,52.0,41.2,38.7,70.2,69.2,76.7,2770.0,6268.0,66.1,72.6,25.3,6.9,18.1,593.0,5039.0,128.0,29.3,4446.0,11.2,83.0,44.0,12.5,382.0,10.1,243.0,12.0,15.5,13.1,,19.5,,15.7,,9.1,11.0,,10.3,23.9,9.0,11.9,449.0,13.4,1055.0,12.0,26.4,606.0,25.4,10.6,634.0,409.0,900.0,45.0,48.0,51.5,52.0,74.4,51.1,71.7,56.7,2839.0,56.5,6500.0,53.9,80.8,56.2,76.0,54.0,77.3,53.8,76.4,77.3,3.7,21.7,79.7,165.0,81.1,3.4,75.0,3.9,66.2,76.9,18.2,76.2,22.0,71.4,7.0,71.4,64.7,199.0,7.7,,73.6,60.2,335.0
