year,month,ticker,list_date,company_name,icb_industry,ice_supersector,country_of_incorporation,market_cap,eps,p/e,p/s
2017,11,OPM,8/2/06,1PM PLC,Financial Services,Financials,United Kingdom,40.036935,0.03,15.51819186,0.162790698
2017,11,C21,4/15/05,21ST CENTURY TECHNOLOGY PLC,Industrial Goods & Services,Industrials,United Kingdom,2.564093,-,-,-
2017,11,III,7/18/94,3I GROUP PLC,Financial Services,Financials,United Kingdom,8765.510388,-,-,-
2017,11,NEXS,3/13/07,3I INFRASTRUCTURE PLC,Financial Services,Financials,Jersey,2025.382649,-,-,-
2017,11,DDDD,2/18/14,4D PHARMA PLC,Healthcare,Health Care,United Kingdom,221.041717,-,-,-
2017,11,FOUR,3/13/53,4IMPRINT GROUP PLC,Media,Consumer Services,United Kingdom,512.560923,-,-,-
2017,11,SIXH,7/14/11,600 GROUP PLC,Industrial Goods & Services,Industrials,United Kingdom,16.381134,-,-,-
2017,11,TLOU,2/3/12,88 ENERGY LIMITED,Oil & Gas,Oil & Gas,Australia,52.305342,-,-,-
2017,11,AA,6/26/14,AA PLC,Industrial Goods & Services,Industrials,United Kingdom,921.662511,-,-,-
2017,11,ABC,11/3/05,ABCAM PLC,Healthcare,Health Care,United Kingdom,2011.595728,-,-,-
